"status","year ","wage","state","occupational_group","job_title","employer_name"
"CERTIFIED","2011","40200.0","TX","Computer Programmer Non R & D","SOFTWARE APPLICATIONS DEVELOPER","TEXAS A&M UNIVERSITY"
"CERTIFIED","2011","106427.28","NJ","Computer Systems Analysts","BUSINESS ANALYST","ORACLE FINANCIAL SERVICES SOFTWARE INC.,"
"CERTIFIED","2011","60750.0","TX","Computer Programmers","PROGRAMMER ANALYST","AMERICAN INFORMATICS, LLC"
"DENIED","2011","62400.0","NY","Managers, All Other","CLUB MANAGER","DEER PARK TENNIS & FITNESS"
"CERTIFIED","2011","95400.0","PA","Computer Software Engineers, Systems Software","CONSULTANT","DELOITTE CONSULTING LLP"
"CERTIFIED","2011","73000.0","NC","Computer Software Engineers, Applications","JAVA DEVELOPER","PATERSONS HR AND PAYROLL SOLUTIONS INC."
"DENIED","2011","57500.0","NY","Market Research Analysts","ANALYST","WILLIS SECURITIES INC."
"CERTIFIED","2011","85342.0","NC","Financial Managers","FINANCE BUSINESS MANAGER","CISCO SYSTEMS, INC."
"CERTIFIED","2011","54000.0","WA","Emergency Management Specialists","DEPUTY DIRECTOR OF DISASTER RESPONSE","CRISTA MINISTRIES"
"CERTIFIED","2011","60000.0","DE","Computer Systems Analysts","PROGRAMMER ANALYST","VENTURESOFT GLOBAL INC."
"DENIED","2011","66500.0","IA","Computer Software Engineers, Applications",".NET DEVELOPER","ELECTRONIC UNIVERSE INC"
"CERTIFIED","2011","66622.0","VA","Computer Software Engineers, Applications","JUNIOR SOFTWARE ENGINEER","PLATEAU SYSTEMS, LTD"
"CERTIFIED","2011","61500.0","NJ","Market Research Analysts","MARKETING SPECIALIST","FAITH GROUP COMPANY"
"CERTIFIED","2011","47000.0","NJ","Budget Analysts","STRATEGIC BUSINESS ANALYST","CERTIFIED DENTAL SUPPLY, LLC."
"CERTIFIED","2011","125000.0","MN","Engineering Teachers, Postsecondary","PROFESSOR","UNIVERSITY OF MINNESOTA"
"CERTIFIED-WITHDRAWN","2011","57660.0","OK","Computer Systems Analysts, Non R&D (ACWIA Only)","DATA MANAGEMENT ANALYST II","UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER"
"CERTIFIED","2011","74360.0","NJ","Computer Systems Analysts","CONSULTANT","MINDTREE LIMITED"
"CERTIFIED","2011","48922.0","MI","Physical Therapists","PHYSICAL THERAPIST","SALUS REHABILITATION, LLC"
"CERTIFIED","2011","120000.0","FL","Computer and Information Systems Managers","DIRECTOR OF APLICATION DEVELOPMENT","TELETUBES CORP"
"CERTIFIED","2011","86275.0","WA","Computer Software Engineers, Systems Software","SOFTWARE DEVELOPMENT ENGINEER IN TEST","MICROSOFT CORPORATION"
"CERTIFIED","2011","60601.0","VA","Secondary School Teachers, Except Special and Voca","LATIN TEACHER, HIGH SCHOOL","FAUQUIER COUNTY GOVT AND PUBLIC SCHOOLS"
"CERTIFIED","2011","105000.0","MD","Computer and Information Systems Managers","TECHNICAL PROJECT MANAGER","SAPPHIRE TECHNOLOGIES, LP"
"CERTIFIED","2011","120000.0","NJ","Computer and Information Scientists, Research","PRINICIPAL MEMBER OF TECHNICAL STAFF","AT&T LABS, INC."
"CERTIFIED","2011","54600.0","OH","Computer Programmers","COMPUTER PROGRAMMER/CONFIGURER 1","ACCENTURE TECHNOLOGY SOLUTIONS"
"CERTIFIED","2011","68000.0","MI","Computer Systems Analysts","SYSTEMS ANALYST","HTC GLOBAL SERVICES, INC."
"CERTIFIED","2011","81827.0","TX","Computer Software Engineers, Applications","COMPUTER PROGRAMMER/ANALYST","HCL GLOBAL SYSTEMS, INC."
"CERTIFIED","2011","44400.0","MD","Training and Development Specialists","TRAINING SPECIALIST","UNI DENTAL STUDIO INC."
"CERTIFIED","2011","70000.0","IL","Mechanical Engineers","MECHANICAL ENGINEER, TEAM LEAD","AXIS, INC."
"WITHDRAWN","2011","78603.0","CA","Electronics Engineers, Except Computer","COMPONENT DESIGN ENGINEER","INTEL CORPORATION"
"DENIED","2011","65000.0","PA","General and Operations Managers","OPERATIONS MANAGER","PULS INC."
"CERTIFIED","2011","38000.0","NY","Biochemists","RESEARCH ASSOCIATE","UNIVERSITY OF ROCHESTER"
"CERTIFIED","2011","67000.0","OH","Computer Programmers","PROGRAMMER ANALYST","JCG TECHNOLOGIES, INC."
"CERTIFIED","2011","60000.0","CA","Computer Systems Analysts","PROGRAMMER ANALYST","PROFICIENT BUSINESS SYSTEMS, INC."
"CERTIFIED","2011","32639.88","FL","Biological Technicians","RESEARCH ASSOCIATE I","UNIVERSITY OF MIAMI-MILLER SCHOOL OF MEDICINE"
"DENIED","2011","79351.0","NY","Computer Software Engineers, Applications","COMPUTER SOFTWARE ENGINEER, APPLICATIONS","FUJITSU AMERICA, INC."
"WITHDRAWN","2011","65000.0","VA","Market Research Analysts","INNOVATION LEAD TECHNICAL SALES SERVICE","MEADWESTVACO CORPORATION"
"CERTIFIED","2011","250000.0","CT","Financial Analysts","CREDIT SPECIALIST (INVESTMENT ANALYST)","VIKING GLOBAL INVESTORS LP"
"CERTIFIED","2011","64688.0","MI","Physical Therapists","PHYSICAL THERAPIST","HENRY FORD HEALTH SYSTEM"
"CERTIFIED","2011","52208.0","TX","Industrial Engineers","RELEASE COORDINATOR","AVANZAR INTERIOR TECHNOLOGIES LTD."
"DENIED","2011","68000.0","SD","Marketing Managers","MARKETING DIRECTOR","QUARQ TECHNOLOGY, INC."
"CERTIFIED","2011","74193.0","CA","Mechanical Engineers","PRINCIPAL ENGINEER","WESTERN DIGITAL TECHNOLOGIES, INC."
"CERTIFIED","2011","65000.0","NY","Management Analysts","ANALYST","OLIVER WYMAN, INC."
"CERTIFIED","2011","124200.0","PA","Computer Software Engineers, Systems Software","MANAGER","DELOITTE CONSULTING LLP"
"CERTIFIED","2011","64125.0","CA","Computer Systems Analysts","SYSTEMS ANALYST","UST GLOBAL INC."
"CERTIFIED","2011","129011.52","CA","Computer Software Engineers, Systems Software","SOFTWARE ENGINEER","BROCADE COMMUNICATIONS SYSTEMS, INC."
"CERTIFIED","2011","66500.0","CA","Computer Programmers","PROGRAMMER ANALYST","ITECH US, INC."
"CERTIFIED","2011","64000.0","IL","Computer Programmers","COMPUTER PROGRAMMER/ANALYST","GUNJAN CUTTING EDGE SOLUTIONS, INC."
"CERTIFIED-WITHDRAWN","2011","74000.0","CO","Atmospheric and Space Scientists","PROFESSIONAL RESEARCH ASSISTANT","UNIVERSITY OF COLORADO"
"CERTIFIED","2011","69576.0","NJ","Operations Research Analysts","MRX ASSOCIATE","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION"
"CERTIFIED","2011","75629.0","CA","Computer Systems Analysts","SYSTEMS ANALYST","SATYAM COMPUTER SERVICES, LTD."
"CERTIFIED","2011","63274.0","PA","Computer Software Engineers, Applications","SOFTWARE ENGINEER","ORPINE, INC."
"CERTIFIED","2011","74000.0","IN","Mechanical Engineers","PUMP RESEARCH AND DESIGN ENGINEER","DEKKER VACUUM TECHNOLOGIES, INC."
"CERTIFIED-WITHDRAWN","2011","20000.0","VA","Athletic Trainers","CERTIFIED STRENGTH CONDITIONING SPECIALIST/ATHELTI","FUNCTIONAL MOVEMENT SYSTEMS, INC."
"CERTIFIED","2011","60000.0","UT","Computer Software Engineers, Applications","ERS CONSULTANT","DELOITTE & TOUCHE LLP"
"CERTIFIED","2011","125000.0","NY","Marketing Managers","PRODUCT MANAGER","INFORMATION BUILDERS, INC."
"CERTIFIED","2011","60000.0","OK","Computer Systems Analysts","PROGRAMMER ANALYST","GURU IT SOLUTIONS INC."
"CERTIFIED","2011","115000.0","TN","Marketing Managers","SENIOR ASSOCIATE BRAND MANAGER","THE NUTRO COMPANY"
"WITHDRAWN","2011","109200.0","CA","Computer Software Engineers, Applications","PRINCIPAL IT APPLICATIONS SPECIALIST","SYMANTEC CORPORATION"
"CERTIFIED","2011","60258.0","MI","Engineers, All Other","PROCUREMENT ENGINEER","FRAS-LE NORTH AMERICA, INC."
"CERTIFIED","2011","60000.0","NY","Medical Scientists, Except Epidemiologists","SR. STAFF ASSOCIATE","WEILL CORNELL MEDICAL COLLEGE"
"WITHDRAWN","2011","39520.0","CA","Law Clerks","LEGAL CONSULTANT","THE CHUGH FIRM"
"CERTIFIED","2011","65000.0","WA","Computer Systems Analysts","COMPUTER PROGRAMMER","SUPREME TECH SOLUTIONS LLC"
"DENIED","2011","60000.0","OH","Education Administrators, All Other","BRANCH COORDINATOR","HAUGLAND LEARNING CENTER LLC"
"CERTIFIED","2011","47500.0","MA","Biological Scientists, All Other","RESEARCH ASSOCIATE","HARVARD UNIVERSITY"
"CERTIFIED","2011","70150.0","AL","","COMPUTER SYSTEMS ANALYST","IBM INDIA PRIVATE LIMITED"
"CERTIFIED","2011","60000.0","CA","","COMPUTER PROGRAMMER ANALYST","ARICENT TECHNOLOGIES (HOLDINGS) LTD."
"CERTIFIED","2011","89000.0","MA","Computer Systems Analysts","GLOBAL MARKETS RESEARCHER","STATE STREET BANK AND TRUST COMPANY"
"CERTIFIED","2011","71739.0","IN","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","IBM INDIA PRIVATE LIMITED"
"CERTIFIED","2011","107000.0","IN","Computer Software Engineers, Systems Software","MANAGER","DELOITTE CONSULTING LLP"
"CERTIFIED","2011","75000.0","NE","Computer Systems Analysts","ONSITE COORDINATOR/SYSTEMS ANALYST","CIBER, INC."
"CERTIFIED","2011","62000.0","MD","Biochemists and Biophysicists","RESEARCH FELLOW","NATIONAL INSTITUTES OF HEALTH, HHS"
"CERTIFIED","2011","55000.0","NJ","Employment, Recruitment, and Placement Specialists","SENIOR RECRUITMENT CONSULTANT","HAYS SPECIALIST RECRUITMENT LLC"
"CERTIFIED","2011","62000.0","OH","Computer Programmers","PROGRAMMER ANALYST","RENEE SYSTEMS, INC."
"CERTIFIED","2011","75000.0","NJ","Computer Programmers","COMPUTER PROGRAMMER","DEEBECON INC"
"DENIED","2011","70000.0","CA","Computer Software Engineers, Applications","DEVELOPMENT ENGINEER","THE GATEWORKS GROUP CORP."
"CERTIFIED","2011","65000.0","NY","Chefs and Head Cooks","EXECUTIVE CHEF","MEMF LLC"
"CERTIFIED","2011","65004.0","WA","Biological Scientists, All Other","STAFF SCIENTIST","FRED HUTCHINSON CANCER RESEARCH CENTER"
"CERTIFIED","2011","84198.0","TX","","COMPUTER PROGRAMMER ANALYST","ARICENT TECHNOLOGIES (HOLDINGS) LTD."
"CERTIFIED","2011","68000.0","FL","Computer Software Engineers, Applications","SOFTWARE ENGINEER, EMBEDDED","AVIONICA, INC"
"CERTIFIED","2011","45530.0","NY","Secondary School Teachers, Except Special and Voca","ENGLISH AS A SECOND LANGUAGE TEACHER","NEW YORK CITY DEPARTMENT OF EDUCATION"
"CERTIFIED","2011","64900.0","NJ","Web Developers","WEB DEVELOPER","TATA CONSULTANCY SERVICES LIMITED"
"CERTIFIED","2011","53000.0","NY","Architectural Drafters","ARCHITECTURAL DRAFTSPERSON","RAND ENGINEERING & ARCHITECTURE P.C."
"CERTIFIED","2011","62067.0","VA","Computer Systems Analysts","BUSINESS SYSTEMS ANALYST","ISR INFO WAY, INC."
"CERTIFIED","2011","54100.0","NJ","Computer Programmers","COMPUTER PROGRAMMER/CONFIGURER 1","ACCENTURE TECHNOLOGY SOLUTIONS"
"CERTIFIED","2011","101088.0","DE","Statisticians","SENIOR MANAGER, BIOSTATISTICS","INCYTE CORPORATION"
"DENIED","2011","38064.0","CA","Market Research Analysts","MARKET RESEARCH ANALYSTS","HOGTIES INC."
"CERTIFIED","2011","68078.0","IL","Industrial Engineers","GLOBAL QUALITY ASSURANCE ENGINEER-INSPECTION COORD","UNITED CONVEYOR SUPPLY COMPANY"
"CERTIFIED","2011","52603.0","NC","Computer Systems Analysts","BUSINESS SYSTEMS ANALYST","AMSOL INC"
"CERTIFIED","2011","45000.0","NE","Business Operations Specialists, All Other","BUSINESS DEVELOPMENT MANAGER","INNOVATIVE PROSTHETICS & ORTHOTICS"
"CERTIFIED","2011","65042.0","CA","Electronics Engineers, Except Computer","ENGINEER, TEST (RADIO)","AMATEL INC.,"
"CERTIFIED","2011","65000.0","CA","Computer Systems Analysts","SOFTWARE CONSULTANT (PROGRAMMER ANALYST)","SURIYA SYSTEMS, INC."
"CERTIFIED","2011","39374.0","CA","Credit Analysts","CREDIT ANALYST","FIRST COMMERCIAL BANK, LOS ANGELES BRANCH"
"CERTIFIED","2011","104000.0","CA","Financial Managers","DIRECTOR OF FINANCE","WR FILMS ENTERTAINMENT GROUP, INC."
"CERTIFIED","2011","38560.0","SC","Secondary School Teachers, Except Special and Care","TEACHER","GLOBAL TEACHERS RESEARCH & RESOURCES, INC"
"DENIED","2011","57750.0","TX","Fire-Prevention and Protection Engineers","ASSOCIATE FIRE PROTECTION ENGINEER","PROTECTION DEVELOPMENT, INCORPORATED"
"DENIED","2011","64000.0","NY","Accountants and Auditors","TAX CONSULTANT","TRUE PARTNERS CONSULTING, LLC"
"CERTIFIED-WITHDRAWN","2011","95000.0","CA","Industrial Engineers","PROGRAM MANAGER, MANUFACTURING","OMNICELL, INC."
"DENIED","2011","44400.0","IL","Art Directors","ASSOCIATE ART DIRECTOR","DRAFTFCB, INC."
"CERTIFIED","2011","53000.0","TX","Computer Systems Analysts","SYSTEMS ANALYST","CIGNITI, INC."
"CERTIFIED","2011","57100.0","MO","Computer Software Engineers, Applications","SOFTWARE ENGINEER","ORACLE AMERICA, INC."
"CERTIFIED","2011","73285.0","CA","Computer Software Engineers, Applications","SOFTWARE ENGINEER","QUALCOMM INCORPORATED"
"CERTIFIED","2011","70000.0","CA","Computer Programmers","COMPUTER PROGRAMMER","SAICON CONSULTANTS, INC."
"CERTIFIED","2011","41101.0","MI","Computer Programmers","SYSTEMS PROGRAMMER","SMARTSOFT INTERNATIONAL, INC."
"DENIED","2011","52853.0","NJ","Accountants","STAFF ACCOUNTANT","NATCORE TECHNOLOGY INC"
"CERTIFIED","2011","63900.0","DE","Computer Specialists, All Other","DATA WAREHOUSE APPLICATION DEVELOPER","TATA CONSULTANCY SERVICES LIMITED"
"WITHDRAWN","2011","72600.0","NM","Biophysicists","POSTDOCTORAL RESEARCH ASSOCIATE","LOS ALAMOS NATIONAL SECURITY, LLC"
"CERTIFIED","2011","87485.0","NY","Electronics Engineers, Except Computer","MTS PROCESS ENGINEER","GLOBALFOUNDRIES U.S. INC."
"CERTIFIED","2011","60000.0","VA","Computer Programmers","PROGRAMMER / ANALYST","INCEPTRON GROUP INC"
"DENIED","2011","83491.0","MO","Computer Software Engineers, Applications","SENIOR SOFTWARE ENGINEER","CLEARPRACTICE, LLC"
"CERTIFIED","2011","46041.0","OR","Computer Programmers","COMPUTER PROGRAMMER","LARSEN & TOUBRO INFOTECH LIMITED"
"CERTIFIED","2011","56200.0","MO","Electrical Engineers","ELECTRICAL DESIGN ENGINEER","CG POWER SYSTEMS USA INC"
"CERTIFIED","2011","66000.0","CO","Computer Software Engineers, Applications","SOFTWARE ENGINEER","INTERGLOBE TECHNOLOGIES, INC."
"CERTIFIED","2011","51400.0","CA","Management Analysts","MANAGEMENT ANALYST","G STEEL COMPANY INC."
"DENIED","2011","32739.0","CA","Mathematical Technicians","RESEARCH ASSOCIATE","AMERICAN INSTITUTE OF MATHEMATICS"
"DENIED","2011","42385.0","DC","Directors, Religious Activities and Education","PASTOR","FIRST CONGREGATIONAL CHURCH"
"CERTIFIED","2011","101215.0","CA","Electrical Engineers","PRODUCT DEVELOPMENT ENGINEER","KLA-TENCOR CORPORATION"
"CERTIFIED","2011","31350.0","ND","Secondary School Teachers, Except Special and Voca","CLASSROOM TEACHER","COUNTY OF NELSON DAKOTA PRAIRIE"
"CERTIFIED","2011","75858.0","IL","Engineering Managers","PROJECT MANAGER","C-SAM, INC."
"CERTIFIED","2011","60000.0","NY","Computer Systems Analysts","PROGRAMMER ANALYST/SOFTWARE ENGINEER","NEW YORK TECHNOLOGY PARTNERS, INC."
"CERTIFIED","2011","55000.0","GA","Computer Systems Analysts","FUNCTIONAL BUSINESS ANALYST","DATAPOINT SYSTEMS INC"
"CERTIFIED","2011","73181.0","OR","Electronics Engineers, Except Computer","PRODUCT DEVELOPMENT ENGINEER","INTEL CORPORATION"
"CERTIFIED","2011","76835.0","CA","Computer Software Engineers, Applications","SOFTWARE QUALITY ASSURANCE ENGINEER","ALCATEL-LUCENT USA INC."
"CERTIFIED","2011","61700.0","MN","Computer Programmers","PROGRAMMER ANALYST","TATA CONSULTANCY SERVICES LIMITED"
"DENIED","2011","70000.0","MA","Market Research Analysts","BUSINESS ANALYST","ABCAM, INC."
"CERTIFIED","2011","46509.0","RI","Computer Programmers","PROGRAMMER ANALYST","INFOSYS TECHNOLOGIES LIMITED"
"CERTIFIED","2011","55000.0","FL","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","SYSNET TECHNOLOGY SOLUTIONS INC"
"CERTIFIED","2011","35838.0","IL","Biochemists and Biophysicists","POSTDOCTORAL SCHOLAR","THE UNIVERSITY OF CHICAGO"
"CERTIFIED","2011","78811.0","NJ","Computer Systems Analysts","SENIOR SYSTEMS ANALYST","COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION"
"CERTIFIED","2011","64900.0","NY","Software Quality Assurance Engineers and Testers","TEST ANALYST","TATA CONSULTANCY SERVICES LIMITED"
"CERTIFIED","2011","100000.0","MO","Civil Engineers","PROJECT ENGINEER 1","PEABODY ENERGY CORPORATION"
"CERTIFIED","2011","79500.0","TX","Electronics Engineers, Except Computer","RF ENGINEER","ADEA SOLUTIONS INC."
"CERTIFIED-WITHDRAWN","2011","93000.0","TN","Chemists","ADVANCED RESEARCH CHEMIST","EASTMAN CHEMICAL COMPANY"
"CERTIFIED","2011","43260.0","CA","Physicists","POSTDOCTORAL SCHOLAR","UNIVERSITY OF CALIFORNIA, DAVIS"
"CERTIFIED","2011","60528.0","OR","Physical Therapists","PHYSICAL THERAPIST","PREMERE REHAB LLC DBA INFINITY REHAB"
"CERTIFIED","2011","87550.0","DC","Education Administrators, Postsecondary","CAMPUS DIRECTOR, WASHINGTON, DC","DIGITAL IMAGING ARTS, INC."
"DENIED","2011","98530.0","CA","Computer Software Engineers, Applications","SOFTWARE ENGINEER","ANSYS, INC."
"WITHDRAWN","2011","52000.0","TN","Computer Software Engineers, Applications","COMPUTER SOFTWARE ENGINEER, APPLICATIONS","KARL STORZ ENDOSCOPY - AMERICA, INC"
"CERTIFIED","2011","92955.0","CA","Electrical Engineers","MANUFACTURING ENGINEER","CENTELLAX, INC."
"CERTIFIED","2011","115500.0","CA","Computer Software Engineers, Systems Software","SENIOR CONSULTANT","SPARTA CONSULTING INC."
"CERTIFIED","2011","65582.0","NY","Computer Programmers","COMPUTER PROGRAMMERS","IBM INDIA PRIVATE LIMITED"
"CERTIFIED","2011","63000.0","TX","Accountants and Auditors","TAX SENIOR","DELOITTE TAX LLP"
"CERTIFIED","2011","60000.0","OH","Computer Programmers","PROGRAMMER ANALYST","SIRITEK INC"
"CERTIFIED","2011","108900.0","DE","Computer Software Engineers, Applications","TEAM MANAGER - SYSTEM ENGINEERING","BANK OF AMERICA N.A."
"CERTIFIED","2011","51500.0","CA","Accountants and Auditors","AUDIT SENIOR ASSISTANT","DELOITTE & TOUCHE LLP"
"CERTIFIED","2011","50000.0","NM","Computer Systems Analysts","SIEBEL CONSULTANT-REPORTS DEVELOPER","SPERIDIAN TECHNOLOGIES, LLC"
"CERTIFIED","2011","117000.0","NY","Managers, All Other","SENIOR COMMUNITY MANAGER","WORLD ECONOMIC FORUM USA INC."
"CERTIFIED-WITHDRAWN","2011","52000.0","TX","Computer Systems Analysts","PROGRAMMER ANALYST","SEMAFOR TECHNOLOGIES, LLC"
"CERTIFIED","2011","80000.0","NV","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","ZAPPOS IP, INC."
"CERTIFIED","2011","69784.0","CO","Computer Programmers","COMPUTER PROGRAMMER","IBM INDIA PRIVATE LIMITED"
"CERTIFIED","2011","50500.0","FL","Computer Systems Analysts","PROGRAMMER ANALYST","BUSINESS INTELLIGENCE SOLUTIONS, INC"
"CERTIFIED","2011","89600.0","NJ","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST 3","ACCENTURE TECHNOLOGY SOLUTIONS"
"CERTIFIED","2011","77000.0","CA","Computer Software Engineers, Applications","GAME PROGRAMMER","NAUGHTY DOG, INC."
"CERTIFIED","2011","60000.0","NY","Biological Technicians","RESEARCH ASSOCIATE","REGENERON PHARMACEUTICALS INC."
"CERTIFIED","2011","63419.0","TX","Network and Computer Systems Administrators","RF ENGINEER","ERICSSON SERVICES INC."
"CERTIFIED","2011","71843.0","NY","Database Administrators","ASSOCIATE IT DELIVERY ANALYST/DATA WAREHOUSE ENVIR","XEROX CORPORATION"
"CERTIFIED","2011","64000.0","MD","Public Relations Specialists","DIRECTOR OF COMMUNICATIONS","NMS HEALTHCARE OF HYATTSVILLE, LLC"
"DENIED","2011","75400.0","CA","Computer Software Engineers, Applications","SOFTWARE ENGINEER","NGMOCO, LLC"
"CERTIFIED","2011","98000.0","CA","Aerospace Engineers","STRESS ENGINEER V","GOODRICH CORPORATION"
"CERTIFIED","2011","50832.0","CA","Physicists","PHYSICIST POSTDOCTORAL FELLOW","LAWRENCE BERKELEY NATIONAL LABORATORY"
"CERTIFIED","2011","56264.0","MN","","PROGRAMMER ANALYST","WIPRO LIMITED"
"CERTIFIED","2011","36000.0","IL","Chemical Engineers","POSTDOCTORAL RESEARCH ASSOCIATE","UNIVERSITY OF ILLINOIS"
"CERTIFIED","2011","47000.0","IL","Biochemists","POSTDOCTORAL RESEARCH ASSOCIATE","UNIVERSITY OF ILLINOIS"
"CERTIFIED","2011","90000.0","CA","Medical Scientists, Except Epidemiologists","SENIOR SCIENTIST","PFIZER INC"
"DENIED","2011","67000.0","NC","Operations Research Analysts","OFFICER; CONSUMER PRODUCT STRATEGY ANALYST II","BANK OF AMERICA N.A."
"CERTIFIED","2011","55000.0","NJ","Employment, Recruitment, and Placement Specialists","TECHNICAL RECRUITER","RECRUITING MINDS INC"
"DENIED","2011","46000.0","MA","Architectural Drafters","INTERN LANDSCAPER ARCHITECT","PAUL LUKEZ ARCHITECTURE"
"CERTIFIED","2011","65000.0","NJ","Computer Systems Analysts","COMPUTER SYSTEMS ANALYSTS","SITROF TECHNOLOGIES INC"
"CERTIFIED","2011","84490.0","KS","Statisticians","BIOSTATISTICIAN 2","QUINTILES, INC."
"DENIED","2011","120000.0","NY","Computer Software Engineers, Applications","SOFTWARE ENGINEER","BOOKISH, LLC"
"CERTIFIED","2011","135000.0","CA","Computer and Information Systems Managers","SOFTWARE MANAGER I","AFFYMETRIX, INC."
"CERTIFIED","2011","95264.0","TX","Management Analysts","SENIOR ASSOCIATE","INFOSYS CONSULTING INC."
"CERTIFIED","2011","124000.0","WA","Computer Software Engineers, Systems Software","SENIOR SOFTWARE DEVELOPMENT ENGINEER","MICROSOFT CORPORATION"
"CERTIFIED","2011","41954.0","PA","Biomedical Engineers","POST-DOCTORAL RESEARCH FELLOW","UNIVERSITY OF PITTSBURGH"
"CERTIFIED","2011","59426.0","AZ","","COMPUTER PROGRAMMER","IBM INDIA PRIVATE LIMITED"
"DENIED","2011","80000.0","MA","Materials Engineers","MEMBER OF TECHNICAL STAFF","ZENA TECHNOLOGIES, INC."
"CERTIFIED","2011","90000.0","WI","Computer Systems Analysts","SYSTEMS ANALYST","FIS MANAGEMENT SERVICES, LLC"
"CERTIFIED","2011","54500.0","NJ","Computer Programmers","COMPUTER PROGRAMMER","MALVI SYSTEMS LLC"
"CERTIFIED","2011","71000.0","CA","","PROGRAMMER ANALYST","ZIONTECH SOLUTIONS LLC"
"CERTIFIED","2011","78000.0","FL","Computer and Information Systems Managers","VAS PRODUCTS DELIVERY OPERATIONS MANAGER","ONMOBILE USA LLC"
"CERTIFIED","2011","71000.0","CA","Electrical Engineers","ASIC DESIGN ENGINEER","TRIDENT MICROSYSTEMS INC."
"CERTIFIED","2011","42960.0","SC","Commercial and Industrial Designers","INDUSTRIAL DESIGNER","LARSEN & TOUBRO LIMITED"
